username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity
Pioter,0,-0.09240073933442094,-0.0461245882138342,-0.005502441101643004,1.4144671277195755,1.1582932151965248
MrCopperpot,0,0.04175601045470518,-0.10332321948130231,-0.23547112041801632,0.7145974701967787,1.1582932151965248
theblazetrends,0,-0.444562207530877,-0.14062672199220905,-0.19365863326958485,0.18969522705468098,1.1582932151965248
sport_ua_feed,1,-0.444562207530877,-0.14177002311607753,-0.3190960947148794,2.1143367852423722,1.1582932151965248
ToTheOneWhoHoldsMe,0,1.4284724145249992,-0.06868074185968127,-0.3190960947148794,0.5396300558160795,1.1582932151965248
pesasafi,0,-0.25744249626924515,0.42172602021304806,0.10948189855654364,-0.685141844848815,1.1582932151965248
cheapshark,0,-0.41599980273706305,-0.12589172551512537,-0.2145648768438006,-0.16023960170671733,1.1582932151965248
csilverman,0,-0.4043002430897083,-0.11985110198311756,5.581691154107519,0.5396300558160795,1.1582932151965248
kpop,0,-0.444562207530877,-0.14236721601500762,-0.3190960947148794,2.6392390283844693,1.1582932151965248
FrankauLux,0,0.17496353795758748,-0.12553497589617305,-0.28773672935355576,-0.685141844848815,1.1582932151965248
earthalerts,0,-0.4115236049708684,-0.13548548965655682,0.17220062927919097,0.01472781267398182,1.1582932151965248
thuwuwu.bsky.social,0,-0.42919007995087294,-0.11647396181555823,-0.2825101684600018,0.8895648845774778,1.1582932151965248
PugJesus,0,-0.444562207530877,-0.1424518440263544,-0.15184614612115332,2.6392390283844693,1.1582932151965248
minimarket,0,-0.4154360710635009,-0.05083136284863847,0.031083485153234586,1.4144671277195755,1.1582932151965248
nedraggett,0,-0.15557632226863014,-0.12331151746552689,-0.07344773271784422,0.01472781267398182,1.1582932151965248
jobvandermeer,0,0.24600106221699655,0.6942182441874122,0.057216289621004286,-0.685141844848815,1.1582932151965248
dude,0,-0.444562207530877,-0.14119062384981215,-0.12048678075982969,1.0645322989581771,1.1582932151965248
ojala,0,0.09436093599701827,0.13450051758976972,-0.04208836735652059,0.18969522705468098,1.1582932151965248
guardian_world,1,-0.32158518689084475,-0.1413348683795589,-0.26160392488578604,0.8895648845774778,1.1582932151965248
MikeImBack,0,0.1960919394133576,-0.14218307931910926,-0.2772836075664479,2.6392390283844693,1.1582932151965248
luci,0,0.0961853203691506,-0.09195534918139127,0.43875523485044193,0.01472781267398182,1.1582932151965248
cbcottawa_mirror,1,-0.439341484956536,-0.1299221206973394,-0.28773672935355576,-0.5101744304681157,1.1582932151965248
CuratedManet,1,-0.4120094667732214,-0.12030899419361306,-0.3086429729277715,0.01472781267398182,1.1582932151965248
argv_minus_one,0,0.05546964176857084,-0.1423550218844811,-0.2981898511406636,2.6392390283844693,1.1582932151965248
antaranews_topnews,1,-0.444562207530877,-0.1375507474549429,-0.3190960947148794,0.8895648845774778,1.1582932151965248
xaeseyes81,0,1.0772784228895225,-0.12063773868719899,1.1704737599479935,0.01472781267398182,1.1582932151965248
Libertariobr,0,-0.444562207530877,-0.14094244853258994,-0.3086429729277715,0.01472781267398182,1.1582932151965248
cbctop_mirror,1,-0.44098035256077894,-0.14005815888827508,-0.3138695338213255,-0.5101744304681157,1.1582932151965248
columbus,1,-0.42271760518034496,-0.141997451637819,-0.2981898511406636,2.6392390283844693,1.1582932151965248
minnamoira,0,0.23532503515044434,1.4871630199147345,0.01191942854353678,0.30634016997514707,1.1582932151965248
dazzledbyart,1,-0.2795433439913156,-0.13902876638587305,-0.16752582880181516,0.01472781267398182,1.1582932151965248
CuratedPicasso,1,-0.4050338794680095,-0.12027790906517338,-0.3138695338213255,0.01472781267398182,1.1582932151965248
ujh,0,-0.03442076103459914,-0.08509367465948016,-0.05254148914362848,-0.5101744304681157,1.1582932151965248
gstats_steam_updates,0,-0.435182604261722,-0.13337396487747713,-0.2145648768438006,0.18969522705468098,1.1582932151965248
panonerpan,0,0.18176261851951994,0.251235159903444,-0.19365863326958485,-0.685141844848815,1.1582932151965248
SmithsonianRoulette,1,0.11392699203221433,-0.13126805451038953,-0.18320551148247696,0.01472781267398182,1.1582932151965248
one,0,-0.444562207530877,-0.11632699639721975,0.4910208437859813,-0.3352070160874166,1.1582932151965248
pasleplatine,0,-0.3892225482428625,-0.10131586197063115,-0.3138695338213255,2.6392390283844693,1.1582932151965248
hourlyslothbot,1,-0.444562207530877,-0.13893597938296495,-0.27205704667289393,0.01472781267398182,1.1582932151965248
nicoletteolivier,0,0.2932999163093166,-0.10065834657171807,-0.03686180646296663,0.5396300558160795,1.1582932151965248
cbcns_mirror,1,-0.4254795663970789,-0.13008916431070933,-0.3086429729277715,-0.685141844848815,1.1582932151965248
games,0,-0.444562207530877,-0.14255657115977763,-0.3190960947148794,2.6392390283844693,1.1582932151965248
coa100,0,-0.1583225905239053,-0.1342168506562014,-0.2563773639922321,-0.5101744304681157,1.1582932151965248
Mickytankbank,0,-0.08880725496506932,0.07815958759686936,-0.10480709807916788,2.6392390283844693,1.1582932151965248
HamonWry,0,-0.30102072018087095,-0.14123987131030416,0.8464269845476493,2.1143367852423722,1.1582932151965248
kunstudio,0,-0.444562207530877,-0.13760976236073721,-0.2981898511406636,-0.5101744304681157,1.1582932151965248
kato,0,-0.29813820630188914,-0.10485104158427982,0.16697406838563705,-0.685141844848815,1.1582932151965248
thestranger.com,0,-0.444562207530877,-0.118236682436839,-0.2563773639922321,-0.8601092592295142,1.1582932151965248
world_beauty,1,0.04071198905556802,-0.125325306235187,1.0136769331413753,-0.16023960170671733,1.1582932151965248
surlykilljoy,0,-0.22763074312186005,-0.14108717960281972,-0.3138695338213255,0.01472781267398182,1.1582932151965248
wine,0,-0.444562207530877,-0.1398944699920369,-0.3138695338213255,0.7145974701967787,1.1582932151965248
