username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity,hybrid_cluster,detection_source,outlier_reason,kmeans_cluster,dbscan_cluster,iso_outlier
BrentD,0,1.5097344713584542,-0.1709052867130699,-0.0921671124350854,-0.6495275422797733,0.0205154509692714,0,,,0.0,1.0,1.0
Egoville,0,-0.1725750728525698,-0.1124857868456901,1.7009062525009186,-0.6495275422797733,0.314448416037971,0,,,0.0,1.0,1.0
cbctor_mirror,1,-0.4714606711744998,-0.2165405976558317,-0.4785199369240587,0.3469415971140884,-0.3964255667342818,-1,rule,API Declared Bot,,,
MovieInfos,1,-0.4060666342302642,-0.1168058807455936,-0.4884264196032632,1.3434107365079502,-0.2028508795183284,-1,rule,API Declared Bot,,,
SunnySideUpAndCoffee,0,0.5867630301152259,-0.0513102231937902,0.1951208852618434,-0.6495275422797733,1.6707786180880737,0,,,0.0,1.0,1.0
nham,0,-0.473662934234334,-0.1625263139120313,0.5814737097508168,0.3469415971140884,-0.200166471501956,0,,,0.0,1.0,1.0
ChrisBoese,0,1.0436894629149902,-0.1707310325931189,0.0366171623945723,-0.6495275422797733,-0.5950975542801156,0,,,0.0,1.0,1.0
khuff,0,1.0481050752322878,-0.0996465149599631,-0.3794551101320143,-0.6495275422797733,-0.3123345690001017,0,,,0.0,1.0,1.0
soulcutter,0,0.2448510174149217,-0.1594692508111415,-0.3101097313775832,0.6790979769120425,0.3009764459426479,0,,,0.0,1.0,1.0
gamemastersbookclub,0,-0.0472450435836604,-0.1083421522790431,-0.2308578699439476,2.339879875901812,0.4562481882407761,0,,,0.0,1.0,1.0
clarabelle.xyz,0,-0.4734167869451625,-0.1454749453921212,-0.4091745581696276,0.6790979769120425,1.351049346931053,0,,,0.0,1.0,1.0
Olly42,0,-0.2966827051236784,-0.0983618800011162,0.3536246081291145,-0.6495275422797733,-0.3653379985817927,0,,,0.0,1.0,1.0
blaulicht,1,-0.4816080217348123,-0.2229677415293766,-0.4983329022824676,-0.6495275422797733,-0.0437153720568366,-1,rule,API Declared Bot,,,
JasonStiff,0,-0.0033201039262955,-0.1795785418215784,0.2644662640162745,1.0112543567099963,-0.1840402774678662,0,,,0.0,1.0,1.0
PugJesus,0,-0.4816080217348123,-0.2187099646498403,-0.0129152510014498,-0.3173711624818193,0.8531790006298264,0,,,0.0,1.0,1.0
saltywizard,0,0.5162048349796752,-0.1610970188643383,0.1257755065074123,0.6790979769120425,1.7207575563283264,0,,,0.0,1.0,1.0
erk,0,-0.2771536142496765,-0.0848900106724342,0.7597903979764966,-0.6495275422797733,-0.6463960421600835,0,,,0.0,1.0,1.0
mirror.co.uk,0,-0.4816080217348123,-0.2220567154005065,-0.4587069715656498,-0.6495275422797733,-0.3315697188528541,0,,,0.0,1.0,1.0
spaziogames,1,-0.4816080217348123,-0.2217331254235973,-0.4686134542448543,-0.6495275422797733,0.0054912351852161,-1,rule,API Declared Bot,,,
kittylyst,0,0.2156215187154031,-0.1658481793769921,-0.3002032486983788,-0.6495275422797733,1.5963160704264825,0,,,0.0,1.0,1.0
gizmodo,1,-0.4816080217348123,-0.2202574349879873,-0.4983329022824676,1.3434107365079502,0.4837816348435025,-1,rule,API Declared Bot,,,
sloanlance,0,1.4183096146809469,-0.2220577463025028,-0.2803902833399698,-0.6495275422797733,1.1573770110636143,0,,,0.0,1.0,1.0
Rynach,0,0.5239428980277161,-0.1492162084604368,-0.3101097313775832,-0.6495275422797733,1.683425110557773,0,,,0.0,1.0,1.0
wired.com,0,-0.4816080217348123,-0.2147321018811997,-0.2011384219063343,-0.6495275422797733,-0.7987853795056038,0,,,0.0,1.0,1.0
mxchara,0,0.0282963439208877,-0.2224702642953204,-0.1020735951142898,3.668505395093628,-0.6351780465756403,-1,iso,Statistical Outlier (Isolation Forest),0.0,0.0,-1.0
bloodravenlib,0,-0.3171768672950011,-0.2177299124885048,-0.1119800777934943,-0.3173711624818193,0.3172024478787987,0,,,0.0,1.0,1.0
JediSoth,0,-0.0150748320084476,-0.203428965209741,-0.0525411817182676,-0.6495275422797733,0.1767245234081288,0,,,0.0,1.0,1.0
mavnn,0,0.8711279586301377,-0.2108346128353063,-0.3695486274528098,0.0147852173161346,0.4002254382940636,0,,,0.0,1.0,1.0
